#separator:Tab
#html:false
#deck:English Unit 1
#notetype:Einfach (beide Richtungen)
personality	Persönlichkeit
to disagree (with)	anderer Meinung sein; nicht einverstanden sein (mit)
to compromise	Kompromisse eingehen
smart	schlau; klug; intelligent
self	das Selbst
nature	Natur
logic	Logik
body	Körper
saying	Redensart; Sprichwort
practice	Training; Übung
to judge	beurteilen; bewerten
cover	Cover; Titelblatt
to matter	von Bedeutung sein; etw. ausmachen
I don't care	es ist mir egal
to be in	in sein; angesagt sein
to be out	out sein
as long as	solange
call-in	Sendung, bei der sich das Publikum telefonisch beteiligen kann
imagination	Fantasie; Vorstellungskraft
to read/to prefer	lesen/bevorzugen
to be interested in	interessiert sein an
to watch	schauen; ansehen
to listen to	hören; zuhören
to follow	folgen
to read/write/make/create	lesen/schreiben/machen/erstellen
to look for	suchen nach
to communicate	kommunizieren
to build/keep up	aufbauen/aufrechterhalten
to share	teilen
to create	erstellen; kreieren
digital	digital
cyber bullying	Cybermobbing
psychological	psychologisch; psychisch
danger	Gefahr
psychologist	Psychologe/Psychologin
to warn	warnen
self-esteem	Selbstwertgefühl; Selbstachtung
according to	laut; gemäß
to be supposed to (do)	(tun) sollen
mostly	meistens; größtenteils; hauptsächlich
direct	direkt
interaction	Interaktion
indirect	indirekt
to take a risk	ein Risiko eingehen
to keep up	aufrechterhalten
fake	falsch; gefälscht
identity	Identität
to face	gegenüber stehen; konfrontiert werden mit
image	Bild; Image
especially	besonders; vor allem
anything	alles (Mögliche/Beliebige)
behaviour	Verhalten; Benehmen; Betragen
permanent	permanent; dauerhaft
depression	Depression; Niedergeschlagenheit
suicide	Selbstmord; Suizid
vlog	Vlog; Videoblog
to design	entwerfen; gestalten
to compete (with/against)	konkurrieren (mit); sich messen (mit)
themselves	sich selbst (3. P. Pl.)
to push oneself	sich alles abverlangen; sich Mühe geben
to study	studieren; lernen
to enjoy oneself	Spaß haben; sich amüsieren
waste	Verschwendung
to accept	akzeptieren; hinnehmen; annehmen
grade (AE)	Note; Klasse
to make it	es schaffen
to complain	sich beschweren; sich beklagen
report card (AE)	Zeugnis
loser	Verlierer/-in; Loser/-in
to be hard on sb	streng mit jmdm. sein
to relax	sich entspannen; sich ausruhen
laid-back	entspannt; locker
bossy	herrisch; rechthaberisch
rich	reich
college	Universität (in den USA)
all by oneself	ganz allein
successful	erfolgreich
stubborn	eigensinnig; störrisch
to make a decision	eine Entscheidung treffen
ambitious	ehrgeizig
pushy	aufdringlich; penetrant; aggressiv
to react	reagieren
in sb's shoes	an jmds. Stelle
to criticize	kritisieren
to push sb	jmdn. drängen
to motivate	motivieren
chance	Chance; Gelegenheit; Möglichkeit
middle school (AE)	Mittelschule (weiterführende Schule in den USA)
trainer	Trainer/-in
safety	Sicherheit
bond	Bindung
to come easily to sb	jmdm. leichtfallen
influence	Einfluss
Norman	Normanne/Normannin; normannisch
pork	Schweinefleisch
beef	Rindfleisch
to mix	mixen; mischen; vermischen
future	zukünftig
rural	ländlich
responsibility	Verantwortung
living	Lebensweise
to be grounded	Hausarrest haben
to taste	schmecken; probieren
hot	scharf
spectacular	spektakulär
pot	Topf
tasty	lecker; schmackhaft
dish	Gericht; Speise
vegetable	Gemüse
to seem	scheinen
certain	bestimmt; sicher; gewiss
to become	werden
to get	werden
to go	werden (to go wrong = schiefgehen)
to grow	werden
to turn	werden
recipe	Rezept
to drive	fahren
to put sth right	etw. richtigstellen
understandable	verständlich
dream	Traum
extreme	extrem; radikal; äußerste/-r/-s
comparable	vergleichbar
to develop	(sich) entwickeln
Saxon	Sachse/Sächsin; sächsisch
Anglo-Saxon	Angelsachse/Angelsächsin; angelsächsisch
to defeat	besiegen
meat	Fleisch
to remain	bleiben
Greek	Griechisch; griechisch
to have a point	nicht ganz Unrecht haben
to meet halfway	sich auf halbem Weg treffen
I don't mind ... (+ -ing)	Ich habe nichts dagegen (zu) ...
this way	so; auf diese Weise
misunderstood	missverstanden
ear	Ohr
diving	Tauchen
argument	Argument
cage	Käfig
strict	streng; strikt
dress code	Kleiderordnung; Bekleidungsvorschriften
skin	Haut; Fell
to interrupt	unterbrechen
to convince	überzeugen
most	am meisten
to be fed up (with)	sauer sein (auf); die Nase voll haben (von)
to feel like	Lust haben (auf/zu)
to trust	vertrauen
sneaker (AE)	Turnschuh
to dream	träumen
in-crowd	die Angesagten
either ... or ...	entweder ... oder ...
far away	weit weg
