#separator:Tab
#html:false
#deck:Sample Vocabulary
#notetype:Basic (and reversed card)
hello	Hallo
goodbye	Auf Wiedersehen
thank you	Danke
please	Bitte
yes	Ja
no	Nein
good morning	Guten Morgen
good evening	Guten Abend
how are you?	Wie geht es dir?
I am fine	Mir geht es gut
my name is	Ich heiße
nice to meet you	Freut mich, dich kennenzulernen
excuse me	Entschuldigung
I don't understand	Ich verstehe nicht
can you help me?	Können Sie mir helfen?
where is...?	Wo ist...?
how much does it cost?	Wie viel kostet das?
I would like...	Ich möchte...
the bill please	Die Rechnung bitte
cheers	Prost
